Game,Pack,Description,BG Color,txtcolor,desccolor,HiglightColor,TitleColor,BtnTxtColor,shortgamename,playermin,playermax,steamid
Drawful 2,Drawful 2,For 3-8 players and an audience of thousands! Your phones or tablets are your controllers! The game of terrible drawings and hilariously wrong answers.,#ffffff,#000000,#000000,#ff1493,#ff1493,#ff1493,drawful2,3,8,442070
Fibbage XL,Fibbage XL,"Fool your friends with your lies avoid theirs&#x2c; and find the (usually outrageous) truth. ""The mayor of Rabbit Hash&#x2c; Kentucky is a ____."" Go!",#ffffff,#000000,#000000,#ff1493,#ff1493,#ff1493,fibbagexl,2,8,448080
Quiplash,Quiplash,For 3-8 Players and an Audience of thousands! Your phones or tablets are your controllers! The gut-busting&#x2c; say-anything&#x2c; no-rules party game!,#ffffff,#000000,#000000,#ff1493,#ff1493,#ff1493,quiplash,3,8,351510
Quiplash 2 InterLASHional,Quiplash 2 InterLASHional,"The ""say anything"" party game is going international! All the hilarious content from Quiplash 2&#x2c; now in French&#x2c; Italian&#x2c; German&#x2c; and Spanish! With 100 NEW prompts in each language! (And you can still play in boring old English.) Get this QUINTILINGUAL Quiplash now&#x2c; and take your next party global!",#ffffff,#000000,#000000,#ff1493,#ff1493,#ff1493,quiplash2int,3,8,1111940
YOU DON'T KNOW JACK 2015,Jackbox Party Pack 1,The smart-ass trivia show that started it all! Hundreds of all-new twisted trivia questions and everyone's favorite host&#x2c; Cookie Masterson!,#8b7d6b,#ffffff,#000000,#7cfc00,#ff8c00,#000000,jack2015,1,4,331670
DRAWFUL,Jackbox Party Pack 1,The drawing game that takes all other drawing games and draws little mustaches on them. Can't draw? No Problem! It's funnier that way!,#8b7d6b,#ffffff,#000000,#7cfc00,#ff8c00,#000000,drawful,3,8,331670
WORD SPUD,Jackbox Party Pack 1,"Keep the words rolling all night! Just finish the word coming toward you&#x2c; like ""Mail___."" Mail enhancement&#x2c; you say? You nailed it.",#8b7d6b,#ffffff,#000000,#7cfc00,#ff8c00,#000000,wordspud,2,8,331670
LIE SWATTER,Jackbox Party Pack 1,Do lobsters pee out of their heads? Did Japan vote the instant noodle the top invention of the 20th century? Or are you calling BS?,#8b7d6b,#ffffff,#000000,#7cfc00,#ff8c00,#000000,lieswatter,1,100,331670
FIBBAGE XL,Jackbox Party Pack 1,"Fool your friends with your lies avoid theirs&#x2c; and find the (usually outrageous) truth. ""The mayor of Rabbit Hash&#x2c; Kentucky is a ____."" Go!",#8b7d6b,#ffffff,#000000,#7cfc00,#ff8c00,#000000,fibbagexl,2,8,331670
FIBBAGE 2,Jackbox Party Pack 2,"More Fibbage! Lie to your firends&#x2c; aviod their lies&#x2c; and spot the truth. ""In Arizona&#x2c; you must obtain a permit to feed ______ to pigs."" Go!",#4169e1,#f0ffff,#ffffff,#000000,#ff5800,#000000,fibbage2,2,8,397460
